sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
Small,Large,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Small,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Medium,Small,Small,Yes
Medium,Large,Small,Small,Yes
Medium,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Medium,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Medium,Large,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Medium,Small,Small,Yes
Medium,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Small,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Medium,Small,Small,Yes
Small,Large,Small,Small,Yes
Small,Large,Small,Small,Yes
Large,Medium,Medium,Medium,No
Large,Medium,Medium,Medium,No
Large,Medium,Medium,Medium,No
Medium,Small,Medium,Medium,No
Large,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Large,Medium,Medium,No
Small,Small,Medium,Medium,No
Large,Small,Medium,Medium,No
Small,Small,Medium,Medium,No
Small,Small,Medium,Medium,No
Medium,Medium,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Large,Medium,Medium,Medium,No
Medium,Medium,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Medium,Medium,Large,No
Medium,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Large,Small,Medium,Medium,No
Large,Medium,Medium,Medium,No
Large,Small,Medium,Medium,No
Large,Medium,Large,Large,No
Medium,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Small,Large,Medium,No
Small,Medium,Medium,Medium,No
Medium,Large,Medium,Medium,No
Large,Medium,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Medium,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Medium,Medium,Medium,No
Medium,Small,Medium,Medium,No
Small,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Medium,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Small,Small,Medium,Medium,No
Medium,Small,Medium,Medium,No
Medium,Large,Large,Large,No
Medium,Small,Large,Large,No
Large,Medium,Large,Large,No
Medium,Small,Large,Large,No
Large,Medium,Large,Large,No
Large,Medium,Large,Large,No
Small,Small,Medium,Large,No
Large,Small,Large,Large,No
Large,Small,Large,Large,No
Large,Large,Large,Large,No
Large,Medium,Large,Large,No
Large,Small,Large,Large,No
Large,Medium,Large,Large,No
Medium,Small,Large,Large,No
Medium,Small,Large,Large,No
Large,Medium,Large,Large,No
Large,Medium,Large,Large,No
Large,Large,Large,Large,No
Large,Small,Large,Large,No
Medium,Small,Large,Medium,No
Large,Medium,Large,Large,No
Medium,Small,Medium,Large,No
Large,Small,Large,Large,No
Medium,Small,Medium,Large,No
Large,Large,Large,Large,No
Large,Medium,Large,Large,No
Medium,Small,Medium,Large,No
Medium,Medium,Medium,Large,No
Large,Small,Large,Large,No
Large,Medium,Large,Medium,No
Large,Small,Large,Large,No
Large,Large,Large,Large,No
Large,Small,Large,Large,No
Medium,Small,Large,Medium,No
Medium,Small,Large,Medium,No
Large,Medium,Large,Large,No
Medium,Large,Large,Large,No
Large,Medium,Large,Large,No
Medium,Medium,Medium,Large,No
Large,Medium,Large,Large,No
Large,Medium,Large,Large,No
Large,Medium,Large,Large,No
Medium,Small,Large,Large,No
Large,Medium,Large,Large,No
Large,Large,Large,Large,No
Large,Medium,Large,Large,No
Medium,Small,Large,Large,No
Large,Medium,Large,Large,No
Medium,Large,Large,Large,No
Medium,Medium,Large,Large,No
